ID;Expressions;Pandas_Expressions;ID_DIR;Qtd_Words
33;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.6;3
34;unreadable;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.6;1
35;screen glare;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('screen glare',case=False,na=False)))];1.4.6;1
36;(background) & (audio);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('background',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio',case=False,na=False)))];1.4.7;2
37;(unable || effort) & (listen);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('effort',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('listen',case=False,na=False))];1.4.7;3
38;format & text;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('format',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)))];1.4.8;2
39;choose & color;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('choose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('color',case=False,na=False)))];1.4.8;2
40;long lines;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('long lines',case=False,na=False)))];1.4.8;1
41;long text;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('long text',case=False,na=False)))];1.4.8;1
42;spacing;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('spacing',case=False,na=False)))];1.4.8;1
43;(image of text);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('image of text',case=False,na=False)))];1.4.9;1
44;(text) & (reflow);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('reflow',case=False,na=False)))];1.4.10;2
45;(scroll) & (dimensions);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('scroll',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('dimensions',case=False,na=False)))];1.4.10;2
46;(contrast) & (low);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('contrast',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('low',case=False,na=False)))];1.4.11;2
47;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.11;3
48;(unreadable);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.11;1
49;(text || line) & (overlap);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('line',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('overlap',case=False,na=False))];1.4.12;3
51;(text) & (cut);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('cut',case=False,na=False)))];1.4.12;2
52;(text || line || content) & (space);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('line',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('content',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('space',case=False,na=False))];1.4.12;4
53;(text) & (hidden);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('text',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('hidden',case=False,na=False)))];1.4.12;2
54;tooltip;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('tooltip',case=False,na=False)))];1.4.13;1
55;hoverable;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('hoverable',case=False,na=False)))];1.4.13;1
